step,dataset_loss,next_byte_accuracy
0,5.749848201357085,0.0016163793103448276
10,1.4595526771983882,0.47323994252873564
20,1.2649462469692887,0.554058908045977
30,0.6554945912854425,0.8089080459770115
40,0.14897364309464378,0.9656968390804598
50,0.07432120832903631,0.9780890804597702
60,0.06598206429645934,0.9797054597701149
70,0.052806718596096695,0.9832974137931034
80,0.04877550369021536,0.9822198275862069
90,0.045727369429051194,0.9832974137931034
100,0.04460732416174878,0.983117816091954
