step,dataset_loss,next_byte_accuracy
0,5.692476639380822,0.004807692307692308
10,1.7852173951955943,0.43539663461538464
20,1.6600395899552565,0.43689903846153844
30,1.5932666338407075,0.46664663461538464
40,1.4841005160258367,0.49759615384615385
50,1.2847389808067908,0.57421875
60,1.0234233599442701,0.6631610576923077
70,0.6925634879332322,0.7857572115384616
80,0.38189037946554333,0.8876201923076923
90,0.1853468120098114,0.9507211538461539
100,0.12765890589127174,0.9645432692307693
110,0.09728575211304885,0.96875
120,0.0648207996900265,0.9789663461538461
130,0.0555419555077186,0.9822716346153846
140,0.05149764739550077,0.9825721153846154
150,0.05345440741914969,0.9816706730769231
160,0.04165864162720167,0.9852764423076923
170,0.04287942226689596,0.9834735576923077
180,0.04162871436430858,0.9846754807692307
190,0.04220012962245024,0.9837740384615384
200,0.04185436350794939,0.984375
